Longitude,Latitude,Pixel,Scan
20.9339166,-17.2914206,249,3300
21.6002535,-17.1559978,0,3350
21.466265,-17.1561717,50,3350
21.3324197,-17.1562495,100,3350
21.1986811,-17.1562316,150,3350
21.0650127,-17.156118,200,3350
20.9340508,-17.155914,249,3350
21.599877,-17.0204248,0,3400
21.4659909,-17.0206138,50,3400
21.3322479,-17.0207074,100,3400
21.1986115,-17.0207059,150,3400
21.0650453,-17.0206096,200,3400
20.9341835,-17.0204232,249,3400
21.5995066,-16.884842,0,3450
21.465722,-16.8850459,50,3450
21.3320804,-16.8851552,100,3450
21.1985453,-16.8851701,150,3450
21.0650803,-16.885091,200,3450
20.9343178,-16.8849221,249,3450
21.5991348,-16.7492525,0,3500
21.4654507,-16.7494714,50,3500
21.3319096,-16.7495963,100,3500
21.1984749,-16.7496277,150,3500
21.0651103,-16.7495657,200,3500
20.9344461,-16.7494144,249,3500
21.5987696,-16.6136724,0,3550
21.4651851,-16.6139066,50,3550
21.3317435,-16.6140476,100,3550
21.1984083,-16.6140958,150,3550
21.0651431,-16.6140513,200,3550
20.9345764,-16.6139179,249,3550
21.5984028,-16.4780907,0,3600
21.4649171,-16.4783398,50,3600
21.3315741,-16.4784965,100,3600
21.1983375,-16.4785611,150,3600
21.0651709,-16.4785337,200,3600
20.9347007,-16.4784178,249,3600
21.5980407,-16.3425123,0,3650
21.4646527,-16.3427764,50,3650
21.3314074,-16.3429488,100,3650
21.1982685,-16.3430298,150,3650
21.0651995,-16.3430196,200,3650
20.934825,-16.3429212,249,3650
21.5976789,-16.2069335,0,3700
21.4643878,-16.2072126,50,3700
21.3312394,-16.2074007,100,3700
21.1981972,-16.2074981,150,3700
21.065225,-16.2075051,200,3700
20.9349453,-16.2074243,249,3700
21.5973176,-16.07135,0,3750
21.4641226,-16.071644,50,3750
21.3310701,-16.0718478,100,3750
21.1981238,-16.0719617,150,3750
21.0652474,-16.0719858,200,3750
20.9350616,-16.0719226,249,3750
21.5969563,-15.9357683,0,3800
21.4638564,-15.9360776,50,3800
21.3308989,-15.9362974,100,3800
21.1980476,-15.936428,150,3800
21.0652661,-15.9364696,200,3800
20.9351734,-15.9364241,249,3800
21.5965937,-15.8001825,0,3850
21.463588,-15.8005065,50,3850
21.3307247,-15.8007417,100,3850
21.1979674,-15.8008885,150,3850
21.06528,-15.800947,200,3850
20.9352794,-15.8009188,249,3850
21.5962363,-15.6645985,0,3900
21.4633239,-15.6649373,50,3900
21.3305539,-15.665188,100,3900
21.1978898,-15.665351,150,3900
21.0652955,-15.6654264,200,3900
20.9353862,-15.6654155,249,3900
21.5958849,-15.5290102,0,3950
21.4630649,-15.529364,50,3950
21.3303872,-15.5296304,100,3950
21.1978154,-15.5298099,150,3950
21.0653134,-15.5299025,200,3950
20.9354945,-15.5299092,249,3950
21.5955327,-15.3934202,0,4000
21.4628043,-15.393789,50,4000
21.330218,-15.3940713,100,4000
21.1977377,-15.3942672,150,4000
21.065327,-15.394377,200,4000
20.9355976,-15.3944013,249,4000
21.5951778,-15.257836,0,4050
21.4625401,-15.2582201,50,4050
21.3300445,-15.2585182,100,4050
21.1976546,-15.2587308,150,4050
21.0653345,-15.258858,200,4050
20.9356938,-15.2589,249,4050
21.5948289,-15.122247,0,4100
21.462281,-15.122646,50,4100
21.3298751,-15.1229598,100,4100
21.1975749,-15.1231888,150,4100
21.0653443,-15.1233331,200,4100
20.9357914,-15.1233926,249,4100
21.5944804,-14.986661,0,4150
21.4620214,-14.9870748,50,4150
21.3297043,-14.9874042,100,4150
21.1974929,-14.9876494,150,4150
21.0653511,-14.9878108,200,4150
20.9358851,-14.9878876,249,4150
21.594134,-14.8510709,0,4200
21.461763,-14.8514999,50,4200
21.3295338,-14.8518451,100,4200
21.1974103,-14.8521069,150,4200
21.0653563,-14.8522855,200,4200
20.9359764,-14.85238,249,4200
21.5937962,-14.7154792,0,4250
21.4615124,-14.7159232,50,4250
21.3293703,-14.7162841,100,4250
21.1973337,-14.7165624,150,4250
21.0653668,-14.7167582,200,4250
20.9360722,-14.7168702,249,4250
21.5934585,-14.579895,0,4300
21.4612609,-14.5803538,50,4300
21.3292049,-14.5807303,100,4300
21.1972545,-14.5810248,150,4300
21.0653737,-14.5812376,200,4300
20.9361635,-14.581367,249,4300
21.5931165,-14.4443119,0,4350
21.4610044,-14.4447857,50,4350
21.3290338,-14.445178,100,4350
21.1971687,-14.4454889,150,4350
21.0653731,-14.4457189,200,4350
20.9362464,-14.4458658,249,4350
21.592785,-14.3087175,0,4400
21.4607573,-14.3092063,50,4400
21.3288711,-14.3096142,100,4400
21.1970904,-14.3099415,150,4400
21.0653793,-14.3101886,200,4400
20.9363353,-14.3103529,249,4400
21.5924528,-14.1731211,0,4450
21.4605088,-14.1736249,50,4450
21.3287062,-14.1740486,100,4450
21.197009,-14.1743924,150,4450
21.0653814,-14.1746567,200,4450
20.9364193,-14.1748386,249,4450
21.5921225,-14.0375325,0,4500
21.4602612,-14.0380512,50,4500
21.3285414,-14.0384904,100,4500
21.1969269,-14.0388505,150,4500
21.0653819,-14.0391318,200,4500
20.9365009,-14.039331,249,4500
21.5917888,-13.9019408,0,4550
21.4600095,-13.9024745,50,4550
21.3283715,-13.9029293,100,4550
21.1968389,-13.9033058,150,4550
21.0653758,-13.9036041,200,4550
20.9365748,-13.9038208,249,4550
21.5914546,-13.7663508,0,4600
21.4597564,-13.7668992,50,4600
21.3281995,-13.7673696,100,4600
21.1967478,-13.7677624,150,4600
21.0653656,-13.7680776,200,4600
20.936644,-13.7683117,249,4600
21.5911294,-13.630757,0,4650
21.4595115,-13.6313205,50,4650
21.3280347,-13.6318068,100,4650
21.1966632,-13.632216,150,4650
21.0653611,-13.6325485,200,4650
20.936718,-13.6328001,249,4650
21.5908054,-13.4951691,0,4700
21.4592668,-13.4957477,50,4700
21.3278693,-13.4962498,100,4700
21.1965771,-13.4966755,150,4700
21.0653542,-13.4970252,200,4700
20.9367888,-13.4972944,249,4700
21.5904793,-13.3595721,0,4750
21.4590192,-13.3601656,50,4750
21.3277003,-13.3606832,100,4750
21.1964864,-13.3611252,150,4750
21.065342,-13.361492,200,4750
20.9368534,-13.3617785,249,4750
21.5901608,-13.2239785,0,4800
21.4587784,-13.2245872,50,4800
21.327537,-13.2251207,100,4800
21.1964008,-13.2255793,150,4800
21.0653339,-13.2259633,200,4800
20.9369213,-13.2262675,249,4800
21.5898407,-13.0883885,0,4850
21.4585352,-13.0890122,50,4850
21.3273706,-13.0895614,100,4850
21.196311,-13.0900365,150,4850
21.0653208,-13.0904376,200,4850
20.9369835,-13.0907593,249,4850
21.5895242,-12.9527941,0,4900
21.4582946,-12.9534328,50,4900
21.3272059,-12.9539978,100,4900
21.1962223,-12.9544893,150,4900
21.065308,-12.9549077,200,4900
20.9370449,-12.9552468,249,4900
21.5892179,-12.8172006,0,4950
21.4580634,-12.8178543,50,4950
21.3270498,-12.8184348,100,4950
21.1961412,-12.8189425,150,4950
21.0653019,-12.8193778,200,4950
20.9371125,-12.8197343,249,4950
21.5889012,-12.681602,0,5000
21.457821,-12.6822705,50,5000
21.3268816,-12.6828665,100,5000
21.1960472,-12.6833906,150,5000
21.0652822,-12.6838428,200,5000
20.9371654,-12.6842166,249,5000
21.5885845,-12.5460084,0,5050
21.4575778,-12.5466919,50,5050
21.3267118,-12.5473037,100,5050
21.1959508,-12.5478441,150,5050
21.0652591,-12.5483135,200,5050
20.9372142,-12.5487047,249,5050
21.5882737,-12.4104073,0,5100
21.4573396,-12.4111058,50,5100
21.3265462,-12.4117333,100,5100
21.1958577,-12.4122901,150,5100
21.0652386,-12.4127766,200,5100
20.9372647,-12.4131853,249,5100
21.587969,-12.2748065,0,5150
21.4571066,-12.2755201,50,5150
21.326385,-12.2761634,100,5150
21.1957682,-12.2767367,150,5150
21.0652207,-12.2772404,200,5150
20.9373172,-12.2776667,249,5150
21.587662,-12.1392131,0,5200
21.4568706,-12.1399416,50,5200
21.3262199,-12.1406006,100,5200
21.195674,-12.1411903,150,5200
21.0651974,-12.141711,200,5200
20.9373633,-12.1421547,249,5200
21.5873605,-12.0036148,0,5250
21.4566392,-12.0043582,50,5250
21.3260585,-12.0050327,100,5250
21.1955827,-12.0056387,150,5250
21.0651761,-12.0061764,200,5250
20.9374107,-12.0066374,249,5250
21.5870534,-11.8680176,0,5300
21.4564014,-11.8687761,50,5300
21.32589,-11.8694665,100,5300
21.1954834,-11.870089,150,5300
21.065146,-11.8706439,200,5300
20.9374484,-11.8711225,249,5300
21.5867488,-11.7324188,0,5350
21.4561653,-11.7331923,50,5350
21.3257224,-11.7338983,100,5350
21.1953842,-11.7345371,150,5350
21.0651151,-11.7351091,200,5350
20.9374845,-11.735605,249,5350
21.5864531,-11.5968173,0,5400
21.4559373,-11.5976057,50,5400
21.325562,-11.5983273,100,5400
21.1952913,-11.5989824,150,5400
