match_id,descriptor,scale,geometry,terrain,photometric,spatial,final_confidence,accepted,rejection_reason
217,0.975,1.0,0.998,1.0,0.317,0.294,0.823,True,
218,0.935,0.998,0.992,1.0,0.395,0.294,0.827,True,
219,0.943,1.0,0.999,1.0,0.099,0.323,0.783,True,
220,0.961,0.999,0.999,0.867,0.343,0.377,0.787,True,
221,0.832,0.999,0.998,1.0,0.636,0.294,0.849,True,
222,0.701,0.995,0.999,1.0,0.27,0.323,0.775,True,
223,0.743,0.999,1.0,1.0,0.493,0.526,0.835,True,
224,0.819,1.0,0.999,1.0,0.13,0.323,0.773,True,
225,0.92,0.995,0.999,1.0,0.68,0.294,0.868,True,
226,0.56,0.998,0.999,1.0,0.414,0.294,0.773,True,
227,0.752,0.995,1.0,1.0,0.092,0.323,0.756,True,
228,0.762,1.0,0.999,1.0,0.526,0.294,0.821,True,
229,0.93,1.0,1.0,1.0,0.603,0.571,0.878,True,
230,0.624,1.0,1.0,1.0,0.687,0.294,0.825,True,
231,0.704,0.996,1.0,1.0,0.513,0.571,0.83,True,
232,0.928,1.0,1.0,1.0,0.301,0.526,0.832,True,
233,0.54,0.998,1.0,0.867,0.497,0.357,0.756,True,
234,0.884,0.999,0.989,0.867,0.311,0.377,0.773,True,
235,0.918,1.0,0.999,1.0,0.437,0.69,0.863,True,
236,0.612,0.988,0.998,1.0,0.415,0.87,0.832,True,
237,0.729,0.989,0.999,1.0,0.553,0.769,0.866,True,
238,0.974,0.999,1.0,1.0,0.192,0.769,0.851,True,
239,0.583,0.999,0.999,0.867,0.541,0.625,0.796,True,
240,0.695,0.995,1.0,0.867,0.546,0.625,0.813,True,
241,0.486,0.997,1.0,1.0,0.52,0.571,0.806,True,
242,0.752,1.0,1.0,1.0,0.419,0.769,0.851,True,
243,0.955,1.0,0.999,0.867,0.195,0.625,0.796,True,
244,0.546,0.595,0.192,0.6,0.431,0.625,0.466,False,"Rejected: High geometric residual (score: 0.19, final: 0.47)"
245,0.699,1.0,0.999,1.0,0.412,0.69,0.827,True,
246,0.719,0.998,0.998,1.0,0.144,0.625,0.789,True,
247,0.935,0.998,0.999,1.0,0.147,0.571,0.817,True,
248,0.963,1.0,0.984,1.0,0.308,0.87,0.874,True,
249,0.926,1.0,1.0,1.0,0.538,0.571,0.875,True,
250,0.951,1.0,1.0,1.0,0.548,0.571,0.88,True,
251,0.946,1.0,0.995,1.0,0.401,0.625,0.861,True,
252,0.694,0.994,1.0,1.0,0.448,0.87,0.838,True,
253,0.895,0.999,0.999,1.0,0.435,0.571,0.853,True,
254,0.971,0.998,0.996,0.867,0.463,0.625,0.844,True,
255,0.496,1.0,1.0,1.0,0.47,0.69,0.805,True,
256,0.742,0.979,0.994,1.0,0.449,0.625,0.833,True,
257,0.98,0.998,0.995,1.0,0.301,0.625,0.851,True,
258,0.374,0.999,0.998,0.867,0.553,0.87,0.782,True,
259,0.883,1.0,1.0,1.0,0.304,0.571,0.831,True,
260,0.582,0.96,0.991,1.0,0.371,0.69,0.798,True,
261,0.892,0.999,0.98,1.0,0.393,0.625,0.845,True,
262,0.861,0.998,0.999,0.867,0.429,0.87,0.836,True,
263,0.923,1.0,0.995,0.867,0.319,0.87,0.834,True,
264,0.488,0.991,0.948,1.0,0.308,1.0,0.785,True,
265,0.812,1.0,0.994,1.0,0.307,1.0,0.845,True,
266,0.515,0.977,0.82,0.867,0.386,0.769,0.765,True,
267,0.669,0.998,0.999,0.867,0.404,0.769,0.794,True,
268,0.769,1.0,0.999,0.867,0.408,0.769,0.809,True,
269,0.33,0.995,0.0,0.467,0.406,1.0,0.453,False,"Rejected: High geometric residual (score: 0.00, final: 0.45)"
270,0.476,0.963,0.997,0.867,0.417,1.0,0.78,True,
271,0.368,0.974,0.0,0.6,0.51,1.0,0.498,False,"Rejected: High geometric residual (score: 0.00, final: 0.50)"
