Longitude,Latitude,Pixel,Scan
338.836855,-24.3919405,200,2600
338.705671,-24.3912355,249,2600
339.371687,-24.2568004,0,2650
339.237965,-24.2566382,50,2650
339.104308,-24.2563369,100,2650
338.970683,-24.2558966,150,2650
338.837056,-24.2553174,200,2650
338.706064,-24.2546146,249,2650
339.371103,-24.1201657,0,2700
339.237575,-24.1200025,50,2700
339.104114,-24.1197011,100,2700
338.970684,-24.1192617,150,2700
338.837252,-24.118684,200,2700
338.706451,-24.1179836,249,2700
339.370521,-23.9835321,0,2750
339.237187,-23.9833678,50,2750
339.10392,-23.9830661,100,2750
338.970684,-23.9826271,150,2750
338.837445,-23.9820508,200,2750
338.706835,-23.9813526,249,2750
339.369944,-23.8468894,0,2800
339.236803,-23.846724,50,2800
339.103729,-23.8464222,100,2800
338.970685,-23.8459839,150,2800
338.837639,-23.8454091,200,2800
338.707218,-23.8447132,249,2800
339.369365,-23.7102393,0,2850
339.236416,-23.7100729,50,2850
339.103533,-23.7097708,100,2850
338.970681,-23.7093332,150,2850
338.837826,-23.7087599,200,2850
338.707592,-23.7080663,249,2850
339.368796,-23.5735846,0,2900
339.236037,-23.5734168,50,2900
339.103344,-23.5731142,100,2900
338.970682,-23.5726769,150,2900
338.838017,-23.5721047,200,2900
338.70797,-23.571413,249,2900
339.368219,-23.4369321,0,2950
339.235649,-23.4367633,50,2950
339.103145,-23.4364605,100,2950
338.970672,-23.4360237,150,2950
338.838196,-23.435453,200,2950
338.708333,-23.4347636,249,2950
339.367649,-23.3002758,0,3000
339.235267,-23.3001061,50,3000
339.102951,-23.2998033,100,3000
338.970666,-23.2993674,150,3000
338.838377,-23.2987984,200,3000
338.708699,-23.2981114,249,3000
339.367089,-23.1635978,0,3050
339.234894,-23.1634271,50,3050
339.102764,-23.163124,100,3050
338.970665,-23.1626886,150,3050
338.838563,-23.162121,200,3050
338.709067,-23.1614361,249,3050
339.366523,-23.0269173,0,3100
339.234513,-23.0267453,50,3100
339.102568,-23.0264418,100,3100
338.970655,-23.026007,150,3100
338.838738,-23.0254406,200,3100
338.709424,-23.0247578,249,3100
339.365957,-22.8902419,0,3150
339.234131,-22.8900688,50,3150
339.10237,-22.889765,100,3150
338.970641,-22.8893307,150,3150
338.838908,-22.8887657,200,3150
338.709774,-22.888085,249,3150
339.365391,-22.7535601,0,3200
339.233748,-22.7533859,50,3200
339.10217,-22.753082,100,3200
338.970623,-22.7526483,150,3200
338.839073,-22.7520847,200,3200
338.710119,-22.7514063,249,3200
339.364825,-22.6168708,0,3250
339.233364,-22.6166958,50,3250
339.101968,-22.6163918,100,3250
338.970602,-22.6159589,150,3250
338.839234,-22.6153969,200,3250
338.710458,-22.6147209,249,3250
339.364266,-22.4801762,0,3300
339.232985,-22.4800001,50,3300
339.101769,-22.4796957,100,3300
338.970584,-22.4792633,150,3300
338.839396,-22.4787026,200,3300
338.710796,-22.4780286,249,3300
339.363711,-22.3434744,0,3350
339.23261,-22.3432969,50,3350
339.101573,-22.3429919,100,3350
338.970567,-22.3425597,150,3350
338.839558,-22.342,200,3350
338.711134,-22.3413278,249,3350
339.363153,-22.2067696,0,3400
339.23223,-22.2065911,50,3400
339.101371,-22.206286,100,3400
338.970543,-22.2058544,150,3400
338.839712,-22.2052963,200,3400
338.711463,-22.2046263,249,3400
339.362599,-22.0700547,0,3450
339.231853,-22.0698753,50,3450
339.101172,-22.0695701,100,3450
338.97052,-22.0691393,150,3450
338.839866,-22.0685826,200,3450
338.71179,-22.0679149,249,3450
339.36205,-21.9333387,0,3500
339.23148,-21.933158,50,3500
339.100974,-21.9328524,100,3500
338.970498,-21.9324219,150,3500
338.84002,-21.9318665,200,3500
338.712116,-21.9312007,249,3500
339.361498,-21.7966116,0,3550
339.231103,-21.7964297,50,3550
339.100771,-21.7961237,100,3550
338.97047,-21.7956935,150,3550
338.840167,-21.7951393,200,3550
338.712434,-21.7944755,249,3550
339.360954,-21.6598767,0,3600
339.230732,-21.6596937,50,3600
339.100574,-21.6593874,100,3600
338.970446,-21.6589578,150,3600
338.840315,-21.6584048,200,3600
338.712752,-21.6577431,249,3600
339.360406,-21.5231432,0,3650
339.230356,-21.522959,50,3650
339.10037,-21.5226523,100,3650
338.970415,-21.5222232,150,3650
338.840456,-21.5216714,200,3650
338.713062,-21.5210116,249,3650
339.359862,-21.3864012,0,3700
339.229984,-21.3862161,50,3700
339.100169,-21.3859092,100,3700
338.970384,-21.3854807,150,3700
338.840597,-21.3849304,200,3700
338.71337,-21.3842727,249,3700
339.359324,-21.2496573,0,3750
339.229615,-21.2494712,50,3750
339.09997,-21.2491642,100,3750
338.970356,-21.2487363,150,3750
338.840738,-21.2481874,200,3750
338.713678,-21.247532,249,3750
339.358786,-21.1129074,0,3800
339.229246,-21.1127201,50,3800
339.09977,-21.1124126,100,3800
338.970324,-21.111985,150,3800
338.840875,-21.1114373,200,3800
338.71398,-21.1107837,249,3800
339.35825,-20.9761535,0,3850
339.228878,-20.975965,50,3850
339.099569,-20.9756572,100,3850
338.970291,-20.9752301,150,3850
338.84101,-20.9746836,200,3850
338.714279,-20.974032,249,3850
339.357721,-20.8393896,0,3900
339.228515,-20.8392002,50,3900
339.099373,-20.8388922,100,3900
338.970261,-20.8384656,150,3900
338.841146,-20.8379205,200,3900
338.714579,-20.837271,249,3900
339.357188,-20.7026294,0,3950
339.228148,-20.7024387,50,3950
339.099171,-20.7021302,100,3950
338.970225,-20.7017039,150,3950
338.841275,-20.7011599,200,3950
338.71487,-20.7005122,249,3950
339.356661,-20.5658487,0,4000
339.227785,-20.565657,50,4000
339.098972,-20.5653484,100,4000
338.97019,-20.5649228,150,4000
338.841404,-20.5643802,200,4000
338.71516,-20.5637346,249,4000
339.356141,-20.4290611,0,4050
339.227428,-20.4288684,50,4050
339.098778,-20.4285595,100,4050
338.970159,-20.4281344,150,4050
338.841536,-20.427593,200,4050
338.715452,-20.4269495,249,4050
339.355613,-20.2922804,0,4100
339.227062,-20.2920867,50,4100
339.098575,-20.2917775,100,4100
338.970117,-20.2913529,150,4100
338.841657,-20.2908128,200,4100
338.715731,-20.2901713,249,4100
339.355084,-20.1554988,0,4150
339.226694,-20.1553042,50,4150
339.098367,-20.1549948,100,4150
